Time(s),CH4V
-2.040000e-03,1.412000e-01
-2.030000e-03,1.456000e-01
-2.020000e-03,1.456000e-01
-2.010000e-03,1.325333e-01
-2.000000e-03,1.325333e-01
-1.990000e-03,1.368000e-01
-1.980000e-03,1.085333e-01
-1.970000e-03,1.041333e-01
-1.960000e-03,9.106667e-02
-1.950000e-03,1.237333e-01
-1.940000e-03,1.062667e-01
-1.930000e-03,1.085333e-01
-1.920000e-03,1.085333e-01
-1.910000e-03,8.666667e-02
-1.900000e-03,9.760000e-02
-1.890000e-03,1.085333e-01
-1.880000e-03,1.018667e-01
-1.870000e-03,1.106667e-01
-1.860000e-03,1.237333e-01
-1.850000e-03,1.041333e-01
-1.840000e-03,1.085333e-01
-1.830000e-03,1.085333e-01
-1.820000e-03,1.368000e-01
-1.810000e-03,1.434667e-01
-1.800000e-03,1.652000e-01
-1.790000e-03,1.717333e-01
-1.780000e-03,1.260000e-01
-1.770000e-03,1.346667e-01
-1.760000e-03,1.500000e-01
-1.750000e-03,1.390667e-01
-1.740000e-03,1.456000e-01
-1.730000e-03,1.456000e-01
-1.720000e-03,1.346667e-01
-1.710000e-03,1.325333e-01
-1.700000e-03,1.172000e-01
-1.690000e-03,9.760000e-02
-1.680000e-03,9.760000e-02
-1.670000e-03,1.128000e-01
-1.660000e-03,1.106667e-01
-1.650000e-03,1.128000e-01
-1.640000e-03,1.216000e-01
-1.630000e-03,1.368000e-01
-1.620000e-03,1.237333e-01
-1.610000e-03,1.193333e-01
-1.600000e-03,1.062667e-01
-1.590000e-03,1.172000e-01
-1.580000e-03,1.390667e-01
-1.570000e-03,1.346667e-01
-1.560000e-03,1.609333e-01
-1.550000e-03,1.630667e-01
-1.540000e-03,1.368000e-01
-1.530000e-03,1.390667e-01
-1.520000e-03,1.281333e-01
-1.510000e-03,1.106667e-01
-1.500000e-03,1.041333e-01
-1.490000e-03,9.760000e-02
-1.480000e-03,8.666667e-02
-1.470000e-03,1.106667e-01
-1.460000e-03,1.085333e-01
-1.450000e-03,1.085333e-01
-1.440000e-03,1.018667e-01
-1.430000e-03,9.760000e-02
-1.420000e-03,1.281333e-01
-1.410000e-03,1.346667e-01
-1.400000e-03,1.281333e-01
-1.390000e-03,1.128000e-01
-1.380000e-03,1.106667e-01
-1.370000e-03,1.237333e-01
-1.360000e-03,1.018667e-01
-1.350000e-03,9.106667e-02
-1.340000e-03,8.440000e-02
-1.330000e-03,1.346667e-01
-1.320000e-03,1.216000e-01
-1.310000e-03,1.346667e-01
-1.300000e-03,1.586667e-01
-1.290000e-03,1.346667e-01
-1.280000e-03,1.216000e-01
-1.270000e-03,1.368000e-01
-1.260000e-03,1.412000e-01
-1.250000e-03,1.368000e-01
-1.240000e-03,1.325333e-01
-1.230000e-03,1.172000e-01
-1.220000e-03,1.193333e-01
-1.210000e-03,1.390667e-01
-1.200000e-03,1.477333e-01
-1.190000e-03,1.390667e-01
-1.180000e-03,1.281333e-01
-1.170000e-03,1.521333e-01
-1.160000e-03,1.477333e-01
-1.150000e-03,1.542667e-01
-1.140000e-03,1.521333e-01
-1.130000e-03,1.565333e-01
-1.120000e-03,1.346667e-01
-1.110000e-03,1.565333e-01
-1.100000e-03,1.674667e-01
-1.090000e-03,1.565333e-01
-1.080000e-03,1.477333e-01
-1.070000e-03,1.281333e-01
-1.060000e-03,1.500000e-01
-1.050000e-03,1.456000e-01
-1.040000e-03,1.434667e-01
-1.030000e-03,1.150667e-01
-1.020000e-03,1.346667e-01
-1.010000e-03,1.434667e-01
-1.000000e-03,1.412000e-01
-9.900000e-04,1.412000e-01
-9.800000e-04,1.325333e-01
-9.700000e-04,1.412000e-01
-9.600000e-04,1.302667e-01
-9.500000e-04,1.281333e-01
-9.400000e-04,1.434667e-01
-9.300000e-04,1.172000e-01
-9.200000e-04,1.216000e-01
-9.100000e-04,1.237333e-01
-9.000000e-04,1.172000e-01
-8.900000e-04,1.193333e-01
-8.800000e-04,1.237333e-01
-8.700000e-04,1.500000e-01
-8.600000e-04,1.521333e-01
-8.500000e-04,1.542667e-01
-8.400000e-04,1.500000e-01
-8.300000e-04,1.696000e-01
-8.200000e-04,1.652000e-01
-8.100000e-04,1.521333e-01
-8.000000e-04,1.630667e-01
-7.900000e-04,1.412000e-01
-7.800000e-04,1.586667e-01
-7.700000e-04,1.542667e-01
-7.600000e-04,1.346667e-01
-7.500000e-04,1.521333e-01
-7.400000e-04,1.630667e-01
-7.300000e-04,1.325333e-01
-7.200000e-04,1.128000e-01
-7.100000e-04,1.062667e-01
-7.000000e-04,1.128000e-01
-6.900000e-04,1.390667e-01
-6.800000e-04,1.412000e-01
-6.700000e-04,1.412000e-01
-6.600000e-04,1.260000e-01
-6.500000e-04,1.281333e-01
-6.400000e-04,1.302667e-01
-6.300000e-04,1.216000e-01
-6.200000e-04,1.281333e-01
-6.100000e-04,1.216000e-01
-6.000000e-04,1.302667e-01
-5.900000e-04,1.500000e-01
-5.800000e-04,1.062667e-01
-5.700000e-04,1.412000e-01
-5.600000e-04,1.412000e-01
-5.500000e-04,1.325333e-01
-5.400000e-04,1.062667e-01
-5.300000e-04,9.106667e-02
-5.200000e-04,9.760000e-02
-5.100000e-04,1.237333e-01
-5.000000e-04,1.128000e-01
-4.900000e-04,1.193333e-01
-4.800000e-04,1.085333e-01
-4.700000e-04,1.041333e-01
-4.600000e-04,1.128000e-01
-4.500000e-04,1.302667e-01
-4.400000e-04,1.325333e-01
-4.300000e-04,1.346667e-01
-4.200000e-04,1.477333e-01
-4.100000e-04,1.260000e-01
-4.000000e-04,1.062667e-01
-3.900000e-04,1.128000e-01
-3.800000e-04,1.390667e-01
-3.700000e-04,1.740000e-01
-3.600000e-04,1.740000e-01
-3.500000e-04,1.609333e-01
-3.400000e-04,1.368000e-01
-3.300000e-04,1.521333e-01
-3.200000e-04,1.281333e-01
-3.100000e-04,1.106667e-01
-3.000000e-04,1.193333e-01
-2.900000e-04,9.533334e-02
-2.800000e-04,1.062667e-01
-2.700000e-04,9.760000e-02
-2.600000e-04,9.533334e-02
-2.500000e-04,1.018667e-01
-2.400000e-04,1.041333e-01
-2.300000e-04,1.172000e-01
-2.200000e-04,9.320000e-02
-2.100000e-04,9.320000e-02
-2.000000e-04,8.666667e-02
-1.900000e-04,9.760000e-02
-1.800000e-04,1.281333e-01
-1.700000e-04,1.062667e-01
-1.600000e-04,1.062667e-01
-1.500000e-04,1.085333e-01
-1.400000e-04,1.260000e-01
-1.300000e-04,1.237333e-01
-1.200000e-04,1.784000e-01
-1.100000e-04,1.674667e-01
-1.000000e-04,1.609333e-01
-9.000000e-05,1.434667e-01
-8.000000e-05,1.302667e-01
-7.000000e-05,1.500000e-01
-6.000000e-05,1.346667e-01
-5.000000e-05,1.193333e-01
-4.000000e-05,1.456000e-01
-3.000000e-05,1.477333e-01
-2.000000e-05,1.302667e-01
-1.000000e-05,1.521333e-01
6.694948e-18,1.434667e-01
1.000000e-05,1.237333e-01
2.000000e-05,1.106667e-01
3.000000e-05,1.936000e-01
4.000000e-05,6.328933e+00
5.000000e-05,6.328933e+00
6.000000e-05,6.328933e+00
7.000000e-05,6.328933e+00
8.000000e-05,6.328933e+00
9.000000e-05,6.328933e+00
1.000000e-04,6.328933e+00
1.100000e-04,6.328933e+00
1.200000e-04,6.328933e+00
1.300000e-04,6.328933e+00
1.400000e-04,6.328933e+00
1.500000e-04,6.328933e+00
1.600000e-04,6.328933e+00
1.700000e-04,6.328933e+00
1.800000e-04,6.328933e+00
1.900000e-04,6.328933e+00
2.000000e-04,6.328933e+00
2.100000e-04,6.328933e+00
2.200000e-04,6.328933e+00
2.300000e-04,6.328933e+00
2.400000e-04,6.328933e+00
2.500000e-04,6.328933e+00
2.600000e-04,6.328933e+00
2.700000e-04,6.328933e+00
2.800000e-04,6.328933e+00
2.900000e-04,6.328933e+00
3.000000e-04,6.328933e+00
3.100000e-04,6.328933e+00
3.200000e-04,6.328933e+00
3.300000e-04,6.328933e+00
3.400000e-04,6.328933e+00
3.500000e-04,6.328933e+00
3.600000e-04,6.328933e+00
3.700000e-04,6.328933e+00
3.800000e-04,6.328933e+00
3.900000e-04,6.328933e+00
4.000000e-04,6.241467e+00
4.100000e-04,5.992533e+00
4.200000e-04,5.717467e+00
4.300000e-04,5.494800e+00
4.400000e-04,5.333200e+00
4.500000e-04,5.171600e+00
4.600000e-04,5.010000e+00
4.700000e-04,4.780800e+00
4.800000e-04,4.612667e+00
4.900000e-04,4.468534e+00
5.000000e-04,4.313600e+00
5.100000e-04,4.145467e+00
5.200000e-04,3.911867e+00
5.300000e-04,3.811467e+00
5.400000e-04,3.645467e+00
5.500000e-04,3.505733e+00
5.600000e-04,3.376933e+00
5.700000e-04,3.287467e+00
5.800000e-04,3.191333e+00
5.900000e-04,3.016667e+00
6.000000e-04,2.909733e+00
6.100000e-04,2.794000e+00
6.200000e-04,2.656400e+00
6.300000e-04,2.545067e+00
6.400000e-04,2.420667e+00
6.500000e-04,2.307067e+00
6.600000e-04,2.149867e+00
6.700000e-04,2.075600e+00
6.800000e-04,2.003600e+00
6.900000e-04,1.903200e+00
7.000000e-04,1.811467e+00
7.100000e-04,1.717600e+00
7.200000e-04,1.682667e+00
7.300000e-04,1.625867e+00
7.400000e-04,1.608400e+00
7.500000e-04,1.492667e+00
7.600000e-04,1.348667e+00
7.700000e-04,1.280933e+00
7.800000e-04,1.230667e+00
7.900000e-04,1.226400e+00
8.000000e-04,1.112800e+00
8.100000e-04,1.058267e+00
8.200000e-04,9.774667e-01
8.300000e-04,9.250666e-01
8.400000e-04,8.289334e-01
8.500000e-04,7.874667e-01
8.600000e-04,7.373334e-01
8.700000e-04,7.350667e-01
8.800000e-04,6.980000e-01
8.900000e-04,6.849334e-01
9.000000e-04,6.652000e-01
9.100000e-04,6.258667e-01
9.200000e-04,6.521333e-01
9.300000e-04,6.237333e-01
9.400000e-04,5.909333e-01
9.500000e-04,5.582667e-01
9.600000e-04,5.233333e-01
9.700000e-04,5.014667e-01
9.800000e-04,4.644000e-01
9.900000e-04,4.250667e-01
1.000000e-03,6.328933e+00
1.010000e-03,6.328933e+00
1.020000e-03,6.328933e+00
1.030000e-03,6.328933e+00
1.040000e-03,6.328933e+00
1.050000e-03,6.328933e+00
1.060000e-03,6.328933e+00
1.070000e-03,6.328933e+00
1.080000e-03,6.328933e+00
1.090000e-03,6.206533e+00
1.100000e-03,5.929200e+00
1.110000e-03,5.717467e+00
1.120000e-03,5.540667e+00
1.130000e-03,5.435867e+00
1.140000e-03,5.363733e+00
1.150000e-03,5.234933e+00
1.160000e-03,5.162933e+00
1.170000e-03,5.012267e+00
1.180000e-03,4.935867e+00
1.190000e-03,4.846267e+00
1.200000e-03,4.732800e+00
1.210000e-03,4.630133e+00
1.220000e-03,4.477334e+00
1.230000e-03,4.400933e+00
1.240000e-03,4.307067e+00
1.250000e-03,4.217467e+00
1.260000e-03,4.173867e+00
1.270000e-03,4.058134e+00
1.280000e-03,3.979467e+00
1.290000e-03,3.800533e+00
1.300000e-03,3.691333e+00
1.310000e-03,3.580000e+00
1.320000e-03,3.486133e+00
1.330000e-03,3.396533e+00
1.340000e-03,3.302667e+00
1.350000e-03,3.189200e+00
1.360000e-03,3.088667e+00
1.370000e-03,2.988267e+00
1.380000e-03,2.894400e+00
1.390000e-03,2.765600e+00
1.400000e-03,2.732800e+00
1.410000e-03,2.686933e+00
1.420000e-03,2.610533e+00
1.430000e-03,2.468667e+00
1.440000e-03,2.357333e+00
1.450000e-03,2.280933e+00
1.460000e-03,2.267733e+00
1.470000e-03,2.226267e+00
1.480000e-03,2.114933e+00
1.490000e-03,2.038533e+00
1.500000e-03,1.997067e+00
1.510000e-03,1.935867e+00
1.520000e-03,1.811467e+00
1.530000e-03,1.715467e+00
1.540000e-03,1.632400e+00
1.550000e-03,1.595333e+00
1.560000e-03,1.556000e+00
1.570000e-03,1.558267e+00
1.580000e-03,1.540800e+00
1.590000e-03,1.525467e+00
1.600000e-03,1.514533e+00
1.610000e-03,1.451200e+00
1.620000e-03,1.436000e+00
1.630000e-03,1.536400e+00
1.640000e-03,1.525467e+00
1.650000e-03,1.449067e+00
1.660000e-03,1.315867e+00
1.670000e-03,1.250400e+00
1.680000e-03,1.189200e+00
1.690000e-03,1.187067e+00
1.700000e-03,1.141200e+00
1.710000e-03,1.145600e+00
1.720000e-03,1.184800e+00
1.730000e-03,1.224133e+00
1.740000e-03,1.130267e+00
1.750000e-03,1.093200e+00
1.760000e-03,1.056000e+00
1.770000e-03,1.042933e+00
1.780000e-03,1.001467e+00
1.790000e-03,9.926667e-01
1.800000e-03,9.905334e-01
1.810000e-03,9.905334e-01
1.820000e-03,9.162667e-01
1.830000e-03,9.141334e-01
1.840000e-03,9.381334e-01
1.850000e-03,9.469333e-01
1.860000e-03,9.556000e-01
1.870000e-03,9.206667e-01
1.880000e-03,9.512000e-01
1.890000e-03,8.836000e-01
1.900000e-03,9.272000e-01
1.910000e-03,9.818667e-01
1.920000e-03,9.905334e-01
1.930000e-03,9.752000e-01
1.940000e-03,9.294667e-01
1.950000e-03,8.704000e-01
1.960000e-03,8.312000e-01
1.970000e-03,8.354667e-01
1.980000e-03,8.529333e-01
1.990000e-03,7.962667e-01
2.000000e-03,7.809333e-01
2.010000e-03,7.416000e-01
2.020000e-03,7.024000e-01
2.030000e-03,6.914667e-01
2.040000e-03,6.696000e-01
2.050000e-03,7.110667e-01
2.060000e-03,7.198667e-01
2.070000e-03,7.722667e-01
2.080000e-03,7.744000e-01
2.090000e-03,7.416000e-01
2.100000e-03,6.521333e-01
2.110000e-03,6.390667e-01
2.120000e-03,6.761333e-01
2.130000e-03,6.368000e-01
2.140000e-03,6.456000e-01
2.150000e-03,6.586667e-01
2.160000e-03,6.936000e-01
2.170000e-03,6.674667e-01
2.180000e-03,6.477333e-01
2.190000e-03,6.084000e-01
2.200000e-03,5.909333e-01
2.210000e-03,5.932000e-01
2.220000e-03,5.233333e-01
2.230000e-03,4.905334e-01
2.240000e-03,4.861333e-01
2.250000e-03,4.884000e-01
2.260000e-03,4.970667e-01
2.270000e-03,4.512000e-01
2.280000e-03,4.141333e-01
2.290000e-03,3.966667e-01
2.300000e-03,4.490667e-01
2.310000e-03,4.512000e-01
2.320000e-03,4.185333e-01
2.330000e-03,3.770667e-01
2.340000e-03,3.508000e-01
2.350000e-03,3.224000e-01
2.360000e-03,3.398667e-01
2.370000e-03,3.137333e-01
2.380000e-03,2.700000e-01
2.390000e-03,3.028000e-01
2.400000e-03,2.897334e-01
2.410000e-03,3.049333e-01
2.420000e-03,3.356000e-01
2.430000e-03,2.897334e-01
2.440000e-03,2.634667e-01
2.450000e-03,2.525333e-01
2.460000e-03,2.482667e-01
2.470000e-03,2.416000e-01
2.480000e-03,2.220000e-01
2.490000e-03,2.285333e-01
2.500000e-03,2.154667e-01
2.510000e-03,2.154667e-01
2.520000e-03,1.958667e-01
2.530000e-03,1.805333e-01
2.540000e-03,1.586667e-01
2.550000e-03,1.826667e-01
2.560000e-03,1.674667e-01
2.570000e-03,1.784000e-01
2.580000e-03,1.696000e-01
2.590000e-03,1.740000e-01
2.600000e-03,1.586667e-01
2.610000e-03,1.412000e-01
2.620000e-03,1.784000e-01
2.630000e-03,1.717333e-01
2.640000e-03,1.870667e-01
2.650000e-03,1.652000e-01
2.660000e-03,1.390667e-01
2.670000e-03,1.237333e-01
2.680000e-03,1.346667e-01
2.690000e-03,1.390667e-01
2.700000e-03,1.412000e-01
2.710000e-03,1.368000e-01
2.720000e-03,1.260000e-01
2.730000e-03,1.521333e-01
2.740000e-03,1.390667e-01
2.750000e-03,1.565333e-01
2.760000e-03,1.434667e-01
2.770000e-03,1.521333e-01
2.780000e-03,1.456000e-01
2.790000e-03,1.193333e-01
2.800000e-03,1.106667e-01
2.810000e-03,9.106667e-02
2.820000e-03,1.062667e-01
2.830000e-03,9.760000e-02
2.840000e-03,9.760000e-02
2.850000e-03,9.760000e-02
2.860000e-03,1.390667e-01
2.870000e-03,1.346667e-01
2.880000e-03,1.237333e-01
2.890000e-03,1.368000e-01
2.900000e-03,1.260000e-01
2.910000e-03,1.216000e-01
2.920000e-03,1.193333e-01
2.930000e-03,1.150667e-01
2.940000e-03,1.346667e-01
2.950000e-03,1.172000e-01
2.960000e-03,1.172000e-01
2.970000e-03,1.062667e-01
2.980000e-03,1.172000e-01
2.990000e-03,1.085333e-01
3.000000e-03,1.128000e-01
3.010000e-03,9.106667e-02
3.020000e-03,8.666667e-02
3.030000e-03,7.573333e-02
3.040000e-03,8.440000e-02
3.050000e-03,7.573333e-02
3.060000e-03,6.266667e-02
3.070000e-03,7.786667e-02
3.080000e-03,9.106667e-02
3.090000e-03,8.013333e-02
3.100000e-03,5.173333e-02
3.110000e-03,8.013333e-02
3.120000e-03,6.480000e-02
3.130000e-03,6.266667e-02
3.140000e-03,9.320000e-02
3.150000e-03,1.041333e-01
3.160000e-03,9.760000e-02
3.170000e-03,8.880000e-02
3.180000e-03,7.786667e-02
3.190000e-03,9.106667e-02
3.200000e-03,8.013333e-02
3.210000e-03,1.018667e-01
3.220000e-03,8.440000e-02
3.230000e-03,9.320000e-02
3.240000e-03,6.040000e-02
3.250000e-03,7.573333e-02
3.260000e-03,6.480000e-02
3.270000e-03,1.106667e-01
3.280000e-03,8.666667e-02
3.290000e-03,8.880000e-02
3.300000e-03,8.013333e-02
3.310000e-03,6.920000e-02
3.320000e-03,7.360000e-02
3.330000e-03,1.237333e-01
3.340000e-03,1.390667e-01
3.350000e-03,1.302667e-01
3.360000e-03,1.216000e-01
3.370000e-03,1.281333e-01
3.380000e-03,1.237333e-01
3.390000e-03,1.302667e-01
3.400000e-03,1.193333e-01
3.410000e-03,1.085333e-01
3.420000e-03,1.041333e-01
3.430000e-03,9.760000e-02
3.440000e-03,8.440000e-02
3.450000e-03,1.128000e-01
3.460000e-03,9.320000e-02
3.470000e-03,8.226667e-02
3.480000e-03,1.128000e-01
3.490000e-03,1.150667e-01
3.500000e-03,8.880000e-02
3.510000e-03,1.150667e-01
3.520000e-03,1.106667e-01
3.530000e-03,1.041333e-01
3.540000e-03,8.013333e-02
3.550000e-03,8.666667e-02
3.560000e-03,8.666667e-02
3.570000e-03,6.920000e-02
3.580000e-03,9.760000e-02
3.590000e-03,1.018667e-01
3.600000e-03,9.320000e-02
3.610000e-03,9.320000e-02
3.620000e-03,7.360000e-02
3.630000e-03,8.226667e-02
3.640000e-03,7.360000e-02
3.650000e-03,1.018667e-01
3.660000e-03,9.533334e-02
3.670000e-03,8.666667e-02
3.680000e-03,8.666667e-02
3.690000e-03,7.573333e-02
3.700000e-03,7.360000e-02
3.710000e-03,9.760000e-02
3.720000e-03,7.786667e-02
3.730000e-03,1.150667e-01
3.740000e-03,1.500000e-01
3.750000e-03,1.193333e-01
3.760000e-03,1.302667e-01
3.770000e-03,1.630667e-01
3.780000e-03,1.412000e-01
3.790000e-03,1.456000e-01
3.800000e-03,1.368000e-01
3.810000e-03,1.368000e-01
3.820000e-03,1.368000e-01
3.830000e-03,1.390667e-01
3.840000e-03,1.281333e-01
3.850000e-03,1.302667e-01
3.860000e-03,1.041333e-01
3.870000e-03,9.760000e-02
3.880000e-03,8.440000e-02
3.890000e-03,1.085333e-01
3.900000e-03,1.085333e-01
3.910000e-03,1.128000e-01
3.920000e-03,1.193333e-01
3.930000e-03,8.666667e-02
3.940000e-03,8.013333e-02
3.950000e-03,7.573333e-02
3.960000e-03,6.480000e-02
3.970000e-03,8.226667e-02
3.980000e-03,7.573333e-02
3.990000e-03,9.106667e-02
4.000000e-03,1.018667e-01
4.010000e-03,9.533334e-02
4.020000e-03,1.062667e-01
4.030000e-03,9.973334e-02
4.040000e-03,1.128000e-01
4.050000e-03,1.150667e-01
4.060000e-03,1.500000e-01
4.070000e-03,1.281333e-01
4.080000e-03,1.281333e-01
4.090000e-03,1.260000e-01
4.100000e-03,1.346667e-01
4.110000e-03,1.150667e-01
4.120000e-03,1.018667e-01
4.130000e-03,8.666667e-02
4.140000e-03,7.786667e-02
4.150000e-03,7.573333e-02
4.160000e-03,8.013333e-02
4.170000e-03,6.920000e-02
4.180000e-03,9.106667e-02
4.190000e-03,7.360000e-02
4.200000e-03,6.480000e-02
4.210000e-03,1.018667e-01
4.220000e-03,1.325333e-01
4.230000e-03,1.062667e-01
4.240000e-03,1.062667e-01
4.250000e-03,1.172000e-01
4.260000e-03,1.018667e-01
4.270000e-03,1.216000e-01
4.280000e-03,1.412000e-01
4.290000e-03,1.172000e-01
4.300000e-03,1.172000e-01
4.310000e-03,1.150667e-01
4.320000e-03,1.128000e-01
4.330000e-03,1.260000e-01
4.340000e-03,1.260000e-01
4.350000e-03,1.172000e-01
4.360000e-03,1.106667e-01
4.370000e-03,1.193333e-01
4.380000e-03,1.281333e-01
4.390000e-03,1.346667e-01
4.400000e-03,1.193333e-01
4.410000e-03,1.128000e-01
4.420000e-03,1.128000e-01
4.430000e-03,1.302667e-01
4.440000e-03,1.128000e-01
4.450000e-03,1.216000e-01
4.460000e-03,1.346667e-01
4.470000e-03,1.325333e-01
4.480000e-03,1.237333e-01
4.490000e-03,1.172000e-01
4.500000e-03,1.062667e-01
4.510000e-03,1.062667e-01
4.520000e-03,1.302667e-01
4.530000e-03,1.106667e-01
4.540000e-03,1.237333e-01
4.550000e-03,1.193333e-01
4.560000e-03,9.533334e-02
4.570000e-03,9.760000e-02
4.580000e-03,1.150667e-01
4.590000e-03,1.128000e-01
4.600000e-03,8.440000e-02
4.610000e-03,8.666667e-02
4.620000e-03,8.666667e-02
4.630000e-03,6.040000e-02
4.640000e-03,9.320000e-02
4.650000e-03,8.013333e-02
4.660000e-03,9.106667e-02
4.670000e-03,1.018667e-01
4.680000e-03,1.018667e-01
4.690000e-03,9.533334e-02
4.700000e-03,1.172000e-01
4.710000e-03,1.062667e-01
4.720000e-03,8.013333e-02
4.730000e-03,8.440000e-02
4.740000e-03,7.360000e-02
4.750000e-03,7.786667e-02
4.760000e-03,6.480000e-02
4.770000e-03,9.106667e-02
4.780000e-03,9.533334e-02
4.790000e-03,8.013333e-02
4.800000e-03,8.013333e-02
4.810000e-03,9.320000e-02
4.820000e-03,9.106667e-02
4.830000e-03,6.480000e-02
4.840000e-03,7.360000e-02
4.850000e-03,6.920000e-02
4.860000e-03,7.360000e-02
4.870000e-03,1.018667e-01
4.880000e-03,1.193333e-01
4.890000e-03,9.106667e-02
4.900000e-03,1.085333e-01
4.910000e-03,9.760000e-02
4.920000e-03,1.172000e-01
4.930000e-03,1.260000e-01
4.940000e-03,1.041333e-01
4.950000e-03,1.260000e-01
4.960000e-03,1.237333e-01
4.970000e-03,1.368000e-01
4.980000e-03,1.260000e-01
4.990000e-03,1.281333e-01
5.000000e-03,1.216000e-01
5.010000e-03,1.281333e-01
5.020000e-03,1.346667e-01
5.030000e-03,1.128000e-01
5.040000e-03,1.193333e-01
5.050000e-03,1.390667e-01
5.060000e-03,1.609333e-01
5.070000e-03,1.237333e-01
5.080000e-03,1.172000e-01
5.090000e-03,1.390667e-01
5.100000e-03,1.106667e-01
5.110000e-03,1.302667e-01
5.120000e-03,1.062667e-01
5.130000e-03,9.533334e-02
5.140000e-03,8.440000e-02
5.150000e-03,1.018667e-01
5.160000e-03,9.106667e-02
5.170000e-03,7.133333e-02
5.180000e-03,7.573333e-02
5.190000e-03,1.085333e-01
5.200000e-03,1.128000e-01
5.210000e-03,8.666667e-02
5.220000e-03,8.666667e-02
5.230000e-03,1.128000e-01
5.240000e-03,9.533334e-02
5.250000e-03,1.106667e-01
5.260000e-03,1.106667e-01
5.270000e-03,1.041333e-01
5.280000e-03,9.533334e-02
5.290000e-03,1.128000e-01
5.300000e-03,1.172000e-01
5.310000e-03,1.062667e-01
5.320000e-03,1.434667e-01
5.330000e-03,1.542667e-01
5.340000e-03,1.477333e-01
5.350000e-03,1.542667e-01
5.360000e-03,1.477333e-01
5.370000e-03,1.674667e-01
5.380000e-03,1.456000e-01
5.390000e-03,1.542667e-01
5.400000e-03,1.216000e-01
5.410000e-03,8.440000e-02
5.420000e-03,9.760000e-02
5.430000e-03,1.128000e-01
5.440000e-03,1.237333e-01
5.450000e-03,1.260000e-01
5.460000e-03,1.346667e-01
5.470000e-03,1.281333e-01
5.480000e-03,1.172000e-01
5.490000e-03,1.216000e-01
5.500000e-03,9.106667e-02
5.510000e-03,1.085333e-01
5.520000e-03,8.666667e-02
5.530000e-03,7.573333e-02
5.540000e-03,9.533334e-02
5.550000e-03,7.360000e-02
5.560000e-03,1.128000e-01
5.570000e-03,1.237333e-01
5.580000e-03,1.325333e-01
5.590000e-03,1.302667e-01
5.600000e-03,1.260000e-01
5.610000e-03,1.172000e-01
5.620000e-03,1.237333e-01
5.630000e-03,1.193333e-01
5.640000e-03,9.760000e-02
5.650000e-03,1.085333e-01
5.660000e-03,1.456000e-01
5.670000e-03,1.128000e-01
5.680000e-03,1.150667e-01
5.690000e-03,1.193333e-01
5.700000e-03,1.062667e-01
5.710000e-03,1.106667e-01
5.720000e-03,1.128000e-01
5.730000e-03,1.085333e-01
5.740000e-03,1.062667e-01
5.750000e-03,1.085333e-01
5.760000e-03,8.880000e-02
5.770000e-03,9.533334e-02
5.780000e-03,1.193333e-01
5.790000e-03,1.302667e-01
5.800000e-03,1.521333e-01
5.810000e-03,1.390667e-01
5.820000e-03,1.193333e-01
5.830000e-03,1.260000e-01
5.840000e-03,1.390667e-01
5.850000e-03,1.085333e-01
5.860000e-03,1.302667e-01
5.870000e-03,1.193333e-01
5.880000e-03,9.973334e-02
5.890000e-03,8.666667e-02
5.900000e-03,1.172000e-01
5.910000e-03,9.760000e-02
